epoch	step	cv_loss	cv_acc
0	54	4.948019	0.162999
1	108	4.893055	0.161499
2	163	4.862741	0.164600
3	218	4.847352	0.164748
4	272	4.827396	0.168074
5	327	4.823747	0.166909
6	382	4.813561	0.166687
7	437	4.810139	0.166994
8	492	4.809165	0.165684
9	547	4.810990	0.167651
10	601	4.810360	0.170024
11	655	4.821700	0.167248
12	710	4.821570	0.167153
13	765	4.826362	0.167679
14	820	4.843069	0.168505
15	875	4.849970	0.167039
16	931	4.866409	0.165784
17	987	4.878257	0.168102
18	1042	4.886915	0.170488
19	1097	4.913334	0.171187
20	1152	4.930551	0.168161
